character	10000000
character_name	10100000
command	50000000
command_name	50100000
hitType	110000000
hitType_name	110100000
language	20000000
Move	40000000
move_command	41000000
move_command_name	41100000
move_data	42000000
move_data_name	42100000
move_name	40100000
move_note_name	43100000
moveSubType	70000000
moveSubType_name	70100000
moveText	100000000
moveText_name	100100000
moveType	60000000
moveType_name	60100000
State	90000000
State_name	90100000
StateGroup	80000000
StateGroup_name	80100000
tekkenVersion	30000000
NULL	NULL



id	code	description	number
80000001	80000001	CONJUNGTION	1
80000002	80000002	RAGE           	2
80000003	80000003	MOVEMENT       	3
80000004	80000004	SIDESTEP       	4
80000005	80000005	APPROACH       	5
80000006	80000006	ATTACK FROM    	6
80000007	80000007	SKILL          	7
80000008	80000008	TACKLE         	8
80000009	80000009	HIT            	9
80000010	80000010	DOWN           	10
80000011	80000011	BACK           	11
80000012	80000012	JUMP           	12
80000013	80000013	ENEMY ATTACK   	13
80000014	80000014	ENEMY STATE    	14
80000015	80000017	ETC	17
80000026	80000016	TEXT	16
80000032	80000015	COMMAND	15
80000033	80000018	tewst18888	18
80001033	80000019	tets19	19




id	Base_code	language_code	name	Checked
80100001	80000001	en	CONJUNGTION1	0
80100002	80000001	ko	???	0
80100003	80000002	en	RAGE	0
80100004	80000002	ko	???	0
80100005	80000003	en	MOVEMENT	0
80100006	80000003	ko	???	0
80100007	80000004	en	SIDESTEP	0
80100008	80000004	ko	???	0
80100009	80000005	en	APPROACH	0
80100010	80000005	ko	??	0
80100011	80000006	en	ATTACK FROM	0
80100012	80000006	ko	?? ??	0
80100013	80000007	en	SKILL	0
80100014	80000007	ko	??	0
80100015	80000008	en	TACKLE	0
80100016	80000008	ko	??	0
80100017	80000009	en	HIT	0
80100018	80000009	ko	??	0
80100019	80000010	en	DOWN	0
80100020	80000010	ko	??	0
80100021	80000011	en	BACK	0
80100022	80000011	ko	??	0
80100023	80000012	en	JUMP	0
80100024	80000012	ko	??	0
80100025	80000013	en	ENEMY ATTACK	0
80100026	80000013	ko	?? ??	0
80100027	80000014	en	ENEMY STATE	0
80100028	80000014	ko	?? ??	0
80100029	80000017	en	ETC	1
80100030	80000017	ko	??	1
80100050	80000016	en	TEXT	0
80100051	80000016	ko	TEXT	0
80100052	80000016	jp	TEXT	0
80100065	80000001	jp	2	0
80100066	80000002	jp	4	0
80100070	80000015	en	COMMAND	0
80100071	80000015	ko	COMMAND	0
80100072	80000015	jp	COMMAND	0
80100073	80000018	en	en18	0
80101073	80000019	en	tets19	0
80101074	80000019	ko	tets19	0
80101075	80000019	jp	tets19	0
